Jan  1 00:00:18 debian-armhf kernel: imklog 5.8.11, log source = /proc/kmsg started.
Jan  1 00:00:18 debian-armhf kernel: [    0.000000]   Normal zone: 130816 pages, LIFO batch:31
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] CPU: All CPU(s) started in SVC mode.
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] AM335X ES2.1 (neon)
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] pcpu-alloc: s0 r0 d32768 u32768 alloc=1*32768
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] pcpu-alloc: [0] 0 
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Built 1 zonelists, mobility grouping on.  Total pages: 129666
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Kernel command line: console=ttyS0,115200n8 drm.debug=7 root=/dev/mmcblk1p4 ro rootfstype=ext4 rootwait
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Dentry cache hash table entries: 65536 (order: 6, 262144 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Inode-cache hash table entries: 32768 (order: 5, 131072 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] mem auto-init: stack:off, heap alloc:off, heap free:off
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Memory: 453268K/523264K available (9216K kernel code, 807K rwdata, 3428K rodata, 1024K init, 294K bss, 20844K reserved, 49152K cma-reserved, 0K highmem)
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] SLUB: HWalign=64, Order=0-3, MinObjects=0, CPUs=1, Nodes=1
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] rcu: Preemptible hierarchical RCU implementation.
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] 	Trampoline variant of Tasks RCU enabled.
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] rcu: RCU calculated value of scheduler-enlistment delay is 10 jiffies.
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] NR_IRQS: 16, nr_irqs: 16, preallocated irqs: 16
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] IRQ: Found an INTC at 0x(ptrval) (revision 5.0) with 128 interrupts
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] random: get_random_bytes called from start_kernel+0x30c/0x4c8 with crng_init=0
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] TI gptimer clocksource: always-on /ocp/interconnect@44c00000/segment@200000/target-module@31000
Jan  1 00:00:18 debian-armhf kernel: [    0.000014] sched_clock: 32 bits at 24MHz, resolution 41ns, wraps every 89478484971ns
Jan  1 00:00:18 debian-armhf kernel: [    0.000043] clocksource: dmtimer: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 79635851949 ns
Jan  1 00:00:18 debian-armhf kernel: [    0.000550] TI gptimer clockevent: 24000000 Hz at /ocp/interconnect@48000000/segment@0/target-module@40000
Jan  1 00:00:18 debian-armhf kernel: [    0.002046] Console: colour dummy device 80x30
Jan  1 00:00:18 debian-armhf kernel: [    0.002151] Calibrating delay loop... 548.86 BogoMIPS (lpj=2744320)
Jan  1 00:00:18 debian-armhf kernel: [    0.050659] pid_max: default: 32768 minimum: 301
Jan  1 00:00:18 debian-armhf kernel: [    0.050903] Mount-cache hash table entries: 1024 (order: 0, 4096 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    0.050930] Mountpoint-cache hash table entries: 1024 (order: 0, 4096 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    0.052151] CPU: Testing write buffer coherency: ok
Jan  1 00:00:18 debian-armhf kernel: [    0.052252] CPU0: Spectre v2: using BPIALL workaround
Jan  1 00:00:18 debian-armhf kernel: [    0.053401] Setting up static identity map for 0x80100000 - 0x80100060
Jan  1 00:00:18 debian-armhf kernel: [    0.053610] rcu: Hierarchical SRCU implementation.
Jan  1 00:00:18 debian-armhf kernel: [    0.054590] EFI services will not be available.
Jan  1 00:00:18 debian-armhf kernel: [    0.055229] devtmpfs: initialized
Jan  1 00:00:18 debian-armhf kernel: [    0.072232] VFP support v0.3: implementor 41 architecture 3 part 30 variant c rev 3
Jan  1 00:00:18 debian-armhf kernel: [    0.072601] clocksource: jiffies: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 19112604462750000 ns
Jan  1 00:00:18 debian-armhf kernel: [    0.072637] futex hash table entries: 256 (order: -1, 3072 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    0.077039] pinctrl core: initialized pinctrl subsystem
Jan  1 00:00:18 debian-armhf kernel: [    0.078265] DMI not present or invalid.
Jan  1 00:00:18 debian-armhf kernel: [    0.078913] NET: Registered protocol family 16
Jan  1 00:00:18 debian-armhf kernel: [    0.082304] DMA: preallocated 256 KiB pool for atomic coherent allocations
Jan  1 00:00:18 debian-armhf kernel: [    0.103496] l3-aon-clkctrl:0000:0: failed to disable
Jan  1 00:00:18 debian-armhf kernel: [    0.105162] thermal_sys: Registered thermal governor 'fair_share'
Jan  1 00:00:18 debian-armhf kernel: [    0.105179] thermal_sys: Registered thermal governor 'bang_bang'
Jan  1 00:00:18 debian-armhf kernel: [    0.105201] thermal_sys: Registered thermal governor 'step_wise'
Jan  1 00:00:18 debian-armhf kernel: [    0.105214] thermal_sys: Registered thermal governor 'user_space'
Jan  1 00:00:18 debian-armhf kernel: [    1.929580] No ATAGs?
Jan  1 00:00:18 debian-armhf kernel: [    1.929626] hw-breakpoint: debug architecture 0x4 unsupported.
Jan  1 00:00:18 debian-armhf kernel: [    1.968960] reg-fixed-voltage fixedregulator0: GPIO lookup for consumer (null)
Jan  1 00:00:18 debian-armhf kernel: [    1.968983] reg-fixed-voltage fixedregulator0: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    1.969038] of_get_named_gpiod_flags: can't parse 'gpios' property of node '/fixedregulator0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    1.969070] of_get_named_gpiod_flags: can't parse 'gpio' property of node '/fixedregulator0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    1.969088] reg-fixed-voltage fixedregulator0: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    1.969103] reg-fixed-voltage fixedregulator0: No GPIO consumer (null) found
Jan  1 00:00:18 debian-armhf kernel: [    1.970950] iommu: Default domain type: Translated 
Jan  1 00:00:18 debian-armhf kernel: [    1.974510] mc: Linux media interface: v0.10
Jan  1 00:00:18 debian-armhf kernel: [    1.974586] videodev: Linux video capture interface: v2.00
Jan  1 00:00:18 debian-armhf kernel: [    1.974739] pps_core: LinuxPPS API ver. 1 registered
Jan  1 00:00:18 debian-armhf kernel: [    1.974757] pps_core: Software ver. 5.3.6 - Copyright 2005-2007 Rodolfo Giometti <giometti@linux.it>
Jan  1 00:00:18 debian-armhf kernel: [    1.974794] PTP clock support registered
Jan  1 00:00:18 debian-armhf kernel: [    1.974901] EDAC MC: Ver: 3.0.0
Jan  1 00:00:18 debian-armhf kernel: [    1.976260] Advanced Linux Sound Architecture Driver Initialized.
Jan  1 00:00:18 debian-armhf kernel: [    1.977741] clocksource: Switched to clocksource dmtimer
Jan  1 00:00:18 debian-armhf kernel: [    1.990632] NET: Registered protocol family 2
Jan  1 00:00:18 debian-armhf kernel: [    1.990926] IP idents hash table entries: 8192 (order: 4, 65536 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    1.992389] tcp_listen_portaddr_hash hash table entries: 512 (order: 0, 4096 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    1.992462] TCP established hash table entries: 4096 (order: 2, 16384 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    1.992535] TCP bind hash table entries: 4096 (order: 2, 16384 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    1.992604] TCP: Hash tables configured (established 4096 bind 4096)
Jan  1 00:00:18 debian-armhf kernel: [    1.992756] UDP hash table entries: 256 (order: 0, 4096 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    1.992793] UDP-Lite hash table entries: 256 (order: 0, 4096 bytes, linear)
Jan  1 00:00:18 debian-armhf kernel: [    1.992961] NET: Registered protocol family 1
Jan  1 00:00:18 debian-armhf kernel: [    1.993712] RPC: Registered named UNIX socket transport module.
Jan  1 00:00:18 debian-armhf kernel: [    1.993736] RPC: Registered udp transport module.
Jan  1 00:00:18 debian-armhf kernel: [    1.993749] RPC: Registered tcp transport module.
Jan  1 00:00:18 debian-armhf kernel: [    1.993760] RPC: Registered tcp NFSv4.1 backchannel transport module.
Jan  1 00:00:18 debian-armhf kernel: [    1.993787] PCI: CLS 0 bytes, default 64
Jan  1 00:00:18 debian-armhf kernel: [    1.995199] hw perfevents: enabled with armv7_cortex_a8 PMU driver, 5 counters available
Jan  1 00:00:18 debian-armhf kernel: [    1.997071] Initialise system trusted keyrings
Jan  1 00:00:18 debian-armhf kernel: [    1.997505] workingset: timestamp_bits=14 max_order=17 bucket_order=3
Jan  1 00:00:18 debian-armhf kernel: [    2.003791] squashfs: version 4.0 (2009/01/31) Phillip Lougher
Jan  1 00:00:18 debian-armhf kernel: [    2.004924] NFS: Registering the id_resolver key type
Jan  1 00:00:18 debian-armhf kernel: [    2.004999] Key type id_resolver registered
Jan  1 00:00:18 debian-armhf kernel: [    2.005014] Key type id_legacy registered
Jan  1 00:00:18 debian-armhf kernel: [    2.005084] ntfs: driver 2.1.32 [Flags: R/O].
Jan  1 00:00:18 debian-armhf kernel: [    2.006212] NET: Registered protocol family 38
Jan  1 00:00:18 debian-armhf kernel: [    2.006244] Key type asymmetric registered
Jan  1 00:00:18 debian-armhf kernel: [    2.006260] Asymmetric key parser 'x509' registered
Jan  1 00:00:18 debian-armhf kernel: [    2.006342] Block layer SCSI generic (bsg) driver version 0.4 loaded (major 245)
Jan  1 00:00:18 debian-armhf kernel: [    2.006362] io scheduler mq-deadline registered
Jan  1 00:00:18 debian-armhf kernel: [    2.006376] io scheduler kyber registered
Jan  1 00:00:18 debian-armhf kernel: [    2.477806] random: fast init done
Jan  1 00:00:18 debian-armhf kernel: [    2.683459] omap-mailbox 480c8000.mailbox: omap mailbox rev 0x400
Jan  1 00:00:18 debian-armhf kernel: [    2.821256] debugfs: Directory '49000000.dma' with parent 'dmaengine' already present!
Jan  1 00:00:18 debian-armhf kernel: [    2.821315] edma 49000000.dma: TI EDMA DMA engine driver
Jan  1 00:00:18 debian-armhf kernel: [    2.852893] pinctrl-single 44e10800.pinmux: 142 pins, size 568
Jan  1 00:00:18 debian-armhf kernel: [    2.934075] Serial: 8250/16550 driver, 10 ports, IRQ sharing disabled
Jan  1 00:00:18 debian-armhf kernel: [    2.939482] printk: console [ttyS0] disabled
Jan  1 00:00:18 debian-armhf kernel: [    2.939554] omap8250 44e09000.serial: GPIO lookup for consumer rs485-term
Jan  1 00:00:18 debian-armhf kernel: [    2.939567] omap8250 44e09000.serial: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    2.939629] of_get_named_gpiod_flags: can't parse 'rs485-term-gpios' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@9000/serial@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    2.939671] of_get_named_gpiod_flags: can't parse 'rs485-term-gpio' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@9000/serial@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    2.939693] omap8250 44e09000.serial: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    2.939708] omap8250 44e09000.serial: No GPIO consumer rs485-term found
Jan  1 00:00:18 debian-armhf kernel: [    2.939776] 44e09000.serial: ttyS0 at MMIO 0x44e09000 (irq = 20, base_baud = 3000000) is a 8250
Jan  1 00:00:18 debian-armhf kernel: [    3.575997] printk: console [ttyS0] enabled
Jan  1 00:00:18 debian-armhf kernel: [    3.581254] pinctrl-single 44e10800.pinmux: Invalid number of rows: 0
Jan  1 00:00:18 debian-armhf kernel: [    3.587806] pinctrl-single 44e10800.pinmux: no pins entries for uart1_pins
Jan  1 00:00:18 debian-armhf kernel: [    3.594740] omap8250: probe of 48022000.serial failed with error -22
Jan  1 00:00:18 debian-armhf kernel: [    3.604564] omap_rng 48310000.rng: Random Number Generator ver. 20
Jan  1 00:00:18 debian-armhf kernel: [    3.611148] random: crng init done
Jan  1 00:00:18 debian-armhf kernel: [    3.615551] [drm:drm_core_init] Initialized
Jan  1 00:00:18 debian-armhf kernel: [    3.617631] [drm:tilcdc_drm_init] init
Jan  1 00:00:18 debian-armhf kernel: [    3.631668] brd: module loaded
Jan  1 00:00:18 debian-armhf kernel: [    3.644995] loop: module loaded
Jan  1 00:00:18 debian-armhf kernel: [    3.653533] spi-nor spi0.0: found m25p64, expected at25df641
Jan  1 00:00:18 debian-armhf kernel: [    3.659482] spi-nor spi0.0: m25p64 (8192 Kbytes)
Jan  1 00:00:18 debian-armhf kernel: [    3.664209] 5 fixed-partitions partitions found on MTD device spi0.0
Jan  1 00:00:18 debian-armhf kernel: [    3.670631] Creating 5 MTD partitions on "spi0.0":
Jan  1 00:00:18 debian-armhf kernel: [    3.675457] 0x0000007f0000-0x000000800000 : "MAC Address"
Jan  1 00:00:18 debian-armhf kernel: [    3.681332] mtd mtd0: GPIO lookup for consumer wp
Jan  1 00:00:18 debian-armhf kernel: [    3.681351] mtd mtd0: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.681409] of_get_named_gpiod_flags: can't parse 'wp-gpios' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/ethaddr@7F0000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.681456] of_get_named_gpiod_flags: can't parse 'wp-gpio' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/ethaddr@7F0000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.681476] mtd mtd0: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.681490] mtd mtd0: No GPIO consumer wp found
Jan  1 00:00:18 debian-armhf kernel: [    3.688804] 0x000000100000-0x000000600000 : "Linux Kernel"
Jan  1 00:00:18 debian-armhf kernel: [    3.694677] mtd mtd1: GPIO lookup for consumer wp
Jan  1 00:00:18 debian-armhf kernel: [    3.694693] mtd mtd1: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.694750] of_get_named_gpiod_flags: can't parse 'wp-gpios' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/uImage@100000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.694797] of_get_named_gpiod_flags: can't parse 'wp-gpio' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/uImage@100000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.694814] mtd mtd1: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.694828] mtd mtd1: No GPIO consumer wp found
Jan  1 00:00:18 debian-armhf kernel: [    3.708712] 0x0000000f0000-0x000000100000 : "U-Boot Environment"
Jan  1 00:00:18 debian-armhf kernel: [    3.715099] mtd mtd2: GPIO lookup for consumer wp
Jan  1 00:00:18 debian-armhf kernel: [    3.715115] mtd mtd2: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.715173] of_get_named_gpiod_flags: can't parse 'wp-gpios' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/ubootenv@F0000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.715220] of_get_named_gpiod_flags: can't parse 'wp-gpio' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/ubootenv@F0000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.715238] mtd mtd2: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.715252] mtd mtd2: No GPIO consumer wp found
Jan  1 00:00:18 debian-armhf kernel: [    3.728743] 0x000000080000-0x0000000f0000 : "U-Boot"
Jan  1 00:00:18 debian-armhf kernel: [    3.734078] mtd mtd3: GPIO lookup for consumer wp
Jan  1 00:00:18 debian-armhf kernel: [    3.734093] mtd mtd3: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.734151] of_get_named_gpiod_flags: can't parse 'wp-gpios' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/uboot@80000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.734197] of_get_named_gpiod_flags: can't parse 'wp-gpio' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/uboot@80000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.734215] mtd mtd3: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.734229] mtd mtd3: No GPIO consumer wp found
Jan  1 00:00:18 debian-armhf kernel: [    3.738741] 0x000000000000-0x000000080000 : "U-Boot SPL"
Jan  1 00:00:18 debian-armhf kernel: [    3.744421] mtd mtd4: GPIO lookup for consumer wp
Jan  1 00:00:18 debian-armhf kernel: [    3.744438] mtd mtd4: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.744503] of_get_named_gpiod_flags: can't parse 'wp-gpios' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/spl@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.744550] of_get_named_gpiod_flags: can't parse 'wp-gpio' property of node '/ocp/interconnect@48000000/segment@0/target-module@30000/spi@0/m25p80@0/spl@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.744569] mtd mtd4: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.744582] mtd mtd4: No GPIO consumer wp found
Jan  1 00:00:18 debian-armhf kernel: [    3.760961] mdio_bus fixed-0: GPIO lookup for consumer reset
Jan  1 00:00:18 debian-armhf kernel: [    3.760987] mdio_bus fixed-0: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.761000] mdio_bus fixed-0: No GPIO consumer reset found
Jan  1 00:00:18 debian-armhf kernel: [    3.767602] mdio_bus 4a101000.mdio: GPIO lookup for consumer reset
Jan  1 00:00:18 debian-armhf kernel: [    3.767628] mdio_bus 4a101000.mdio: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.767687] of_get_named_gpiod_flags: can't parse 'reset-gpios' property of node '/ocp/interconnect@4a000000/segment@0/target-module@100000/ethernet@0/mdio@1000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.767732] of_get_named_gpiod_flags: can't parse 'reset-gpio' property of node '/ocp/interconnect@4a000000/segment@0/target-module@100000/ethernet@0/mdio@1000[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.768017] mdio_bus 4a101000.mdio: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.768033] mdio_bus 4a101000.mdio: No GPIO consumer reset found
Jan  1 00:00:18 debian-armhf kernel: [    3.827819] davinci_mdio 4a101000.mdio: davinci mdio revision 1.6, bus freq 1000000
Jan  1 00:00:18 debian-armhf kernel: [    3.836897] mdio_bus 4a101000.mdio:01: GPIO lookup for consumer reset
Jan  1 00:00:18 debian-armhf kernel: [    3.836917] mdio_bus 4a101000.mdio:01: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.836985] of_get_named_gpiod_flags: can't parse 'reset-gpios' property of node '/ocp/interconnect@4a000000/segment@0/target-module@100000/ethernet@0/mdio@1000/ethernet-phy@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.837034] of_get_named_gpiod_flags: can't parse 'reset-gpio' property of node '/ocp/interconnect@4a000000/segment@0/target-module@100000/ethernet@0/mdio@1000/ethernet-phy@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.837051] mdio_bus 4a101000.mdio:01: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.837066] mdio_bus 4a101000.mdio:01: No GPIO consumer reset found
Jan  1 00:00:18 debian-armhf kernel: [    3.838256] davinci_mdio 4a101000.mdio: phy[1]: device 4a101000.mdio:01, driver unknown
Jan  1 00:00:18 debian-armhf kernel: [    3.847111] cpsw 4a100000.ethernet: initialized cpsw ale version 1.4
Jan  1 00:00:18 debian-armhf kernel: [    3.853664] cpsw 4a100000.ethernet: ALE Table size 1024
Jan  1 00:00:18 debian-armhf kernel: [    3.859129] cpsw 4a100000.ethernet: cpts: overflow check period 500 (jiffies)
Jan  1 00:00:18 debian-armhf kernel: [    3.866392] cpsw 4a100000.ethernet: Detected MACID = d0:ff:50:01:21:02
Jan  1 00:00:18 debian-armhf kernel: [    3.875322] mousedev: PS/2 mouse device common for all mice
Jan  1 00:00:18 debian-armhf kernel: [    3.881391] i2c /dev entries driver
Jan  1 00:00:18 debian-armhf kernel: [    3.890365] sdhci: Secure Digital Host Controller Interface driver
Jan  1 00:00:18 debian-armhf kernel: [    3.896599] sdhci: Copyright(c) Pierre Ossman
Jan  1 00:00:18 debian-armhf kernel: [    3.903377] sdhci-pltfm: SDHCI platform and OF driver helper
Jan  1 00:00:18 debian-armhf kernel: [    3.912767] sdhci-omap 48060000.mmc: GPIO lookup for consumer cd
Jan  1 00:00:18 debian-armhf kernel: [    3.912789] sdhci-omap 48060000.mmc: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.912833] sdhci-omap 48060000.mmc: No GPIO consumer cd found
Jan  1 00:00:18 debian-armhf kernel: [    3.913629] sdhci-omap 481d8000.mmc: GPIO lookup for consumer cd
Jan  1 00:00:18 debian-armhf kernel: [    3.913647] sdhci-omap 481d8000.mmc: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.913710] of_get_named_gpiod_flags: can't parse 'cd-gpios' property of node '/ocp/interconnect@48000000/segment@100000/target-module@d8000/mmc@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.913752] of_get_named_gpiod_flags: can't parse 'cd-gpio' property of node '/ocp/interconnect@48000000/segment@100000/target-module@d8000/mmc@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.913770] sdhci-omap 481d8000.mmc: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.913784] sdhci-omap 481d8000.mmc: No GPIO consumer cd found
Jan  1 00:00:18 debian-armhf kernel: [    3.913798] sdhci-omap 481d8000.mmc: GPIO lookup for consumer wp
Jan  1 00:00:18 debian-armhf kernel: [    3.913809] sdhci-omap 481d8000.mmc: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.913849] of_get_named_gpiod_flags: can't parse 'wp-gpios' property of node '/ocp/interconnect@48000000/segment@100000/target-module@d8000/mmc@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.913887] of_get_named_gpiod_flags: can't parse 'wp-gpio' property of node '/ocp/interconnect@48000000/segment@100000/target-module@d8000/mmc@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    3.913903] sdhci-omap 481d8000.mmc: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    3.913915] sdhci-omap 481d8000.mmc: No GPIO consumer wp found
Jan  1 00:00:18 debian-armhf kernel: [    3.914118] sdhci-omap 481d8000.mmc: supply vqmmc not found, using dummy regulator
Jan  1 00:00:18 debian-armhf kernel: [    3.923673] ledtrig-cpu: registered to indicate activity on CPUs
Jan  1 00:00:18 debian-armhf kernel: [    3.938728] omap-aes 53500000.aes: OMAP AES hw accel rev: 3.2
Jan  1 00:00:18 debian-armhf kernel: [    3.947873] omap-aes 53500000.aes: will run requests pump with realtime priority
Jan  1 00:00:18 debian-armhf kernel: [    3.975500] omap-sham 53100000.sham: hw accel on OMAP rev 4.3
Jan  1 00:00:18 debian-armhf kernel: [    3.987842] omap-sham 53100000.sham: will run requests pump with realtime priority
Jan  1 00:00:18 debian-armhf kernel: [    4.024743] davinci-mcasp 48038000.mcasp: IRQ common not found
Jan  1 00:00:18 debian-armhf kernel: [    4.033911] NET: Registered protocol family 10
Jan  1 00:00:18 debian-armhf kernel: [    4.040635] Segment Routing with IPv6
Jan  1 00:00:18 debian-armhf kernel: [    4.044774] sit: IPv6, IPv4 and MPLS over IPv4 tunneling driver
Jan  1 00:00:18 debian-armhf kernel: [    4.051822] NET: Registered protocol family 17
Jan  1 00:00:18 debian-armhf kernel: [    4.056667] Key type dns_resolver registered
Jan  1 00:00:18 debian-armhf kernel: [    4.061090] mmc1: SDHCI controller on 481d8000.mmc [481d8000.mmc] using External DMA
Jan  1 00:00:18 debian-armhf kernel: [    4.069543] NET: Registered protocol family 40
Jan  1 00:00:18 debian-armhf kernel: [    4.075139] Registering SWP/SWPB emulation handler
Jan  1 00:00:18 debian-armhf kernel: [    4.080132] omap_voltage_late_init: Voltage driver support not added
Jan  1 00:00:18 debian-armhf kernel: [    4.087042] Loading compiled-in X.509 certificates
Jan  1 00:00:18 debian-armhf kernel: [    4.109091] [drm:omap_drm_init] init
Jan  1 00:00:18 debian-armhf kernel: [    4.110730] gpio gpiochip0: (gpio-0-31): created GPIO range 0->7 ==> 44e10800.pinmux PIN 82->89
Jan  1 00:00:18 debian-armhf kernel: [    4.110764] gpio gpiochip0: (gpio-0-31): created GPIO range 8->11 ==> 44e10800.pinmux PIN 52->55
Jan  1 00:00:18 debian-armhf kernel: [    4.110785] gpio gpiochip0: (gpio-0-31): created GPIO range 12->15 ==> 44e10800.pinmux PIN 94->97
